MP_ID,AREA_NO,HOLIDAY,ELECTRO_TYPE,TRADE_NO,WINDSPEED,LAPSERATE,AIRPRESSURE,HUMIDITY,PRECIPITATIONRANINFALL
1737542,35401,0,100,1710,1.675,22.15416667,997.75,96.375,34
1737542,35401,0,100,1710,3.0125,25.725,996.125,87.75,54
1737542,35401,1,100,1710,4.1375,29.12083333,995.3166667,74.5,0
1738263,35401,0,100,1710,1.675,22.15416667,997.75,96.375,34
1738263,35401,0,100,1710,3.0125,25.725,996.125,87.75,54
1738905,35401,0,100,1490,2.3625,26.24583333,997.1166667,83.41666667,0
1738905,35401,1,100,1490,4.1375,29.12083333,995.3166667,74.5,0
1750486,35401,0,100,1750,3.0125,25.725,996.125,87.75,54
1973356,35401,0,100,5130,2.3625,26.24583333,997.1166667,83.41666667,0
1973356,35401,0,100,5130,2.7625,29.28333333,996.0083333,79.95833333,0
2003947,35401,0,405,6510,3.0125,25.725,996.125,87.75,54
2004821,35401,0,405,6510,3.0125,25.725,996.125,87.75,54
2004821,35401,1,405,6510,4.1375,29.12083333,995.3166667,74.5,0
2004821,35401,2,405,6510,2.9625,26.2875,997.2041667,82.33333333,0
2110416,35401,1,405,6010,4.1375,29.12083333,995.3166667,74.5,0
2111099,35401,0,100,1710,3.0125,25.725,996.125,87.75,54
2111099,35401,2,100,1710,2.1375,23.725,1000.079167,87.08333333,1
2111099,35401,2,100,1710,2.9625,26.2875,997.2041667,82.33333333,0
2111194,35401,0,100,5010,3.0125,25.725,996.125,87.75,54
2111194,35401,1,100,5010,4.1375,29.12083333,995.3166667,74.5,0
2111194,35401,2,100,5010,2.1375,23.725,1000.079167,87.08333333,1
2113154,35401,0,100,1760,1.675,22.15416667,997.75,96.375,34
2113154,35401,0,100,1760,3.0125,25.725,996.125,87.75,54
2113154,35401,1,100,1760,4.1375,29.12083333,995.3166667,74.5,0
2113154,35401,2,100,1760,2.9625,26.2875,997.2041667,82.33333333,0
2113465,35401,0,100,1710,2.7625,29.28333333,996.0083333,79.95833333,0
2113631,35401,0,100,3220,3.0125,25.725,996.125,87.75,54
2116716,35401,0,100,1750,2.3625,26.24583333,997.1166667,83.41666667,0
2116767,35401,0,100,4420,2.3625,26.24583333,997.1166667,83.41666667,0
2116767,35401,0,100,4420,3.0125,25.725,996.125,87.75,54
2116833,35401,0,100,1710,3.0125,25.725,996.125,87.75,54
2117780,35401,1,100,1750,4.1375,29.12083333,995.3166667,74.5,0
2117780,35401,2,100,1750,2.9625,26.2875,997.2041667,82.33333333,0
